ha5dxc.homelinux.net:8000,DX Spider
dx.hu:9000,DX Spider
dx-cluster.net:23,DX Spider
kh6am.no-ip.org:7550,CW Skimmer
kh6am.ddns.net:7551,CW Skimmer
spider.ham-radio.ch:8000,DX Spider
dx.hb9gl.ch:7300,DX Spider
dxc.iapc.ch:8000,DX Spider
www.hb9on.org:8000,DX Spider
78.47.138.186:7300,DX Spider
hg8lxl.ham.hu:8000,DX Spider
hi3aa.ddns.net:7300,DX Spider
hi5mle.no-ip.org:9000,DxNet
hp2at.privatedns.org:9000,DX Spider
hp2ng.privatedns.org:7300,DX Spider
hp2at.privatedns.org:7300,DX Spider
hs0zer.no-ip.com:9000,DxNet
i0inu.dyndns.org:7300,DX Spider
i0ojj.mooo.com:8000,DX Spider
swlcluster.homepc.it:7300,DX Spider
ik3stg.ddns.net:8000,DX Spider
i5uxj-2.cln.it:8000,DX Spider
dxcluster.i8zse.eu:7300,DX Spider
ik0xwv.dyndns.org:7300,DX Spider
dx.ik1znw.org:8000,DX Spider
ik2duw.homepc.it:7300,DX Spider
ik2xde.ddns.net:8000,CC Cluster
ik3edj.dxgang.net:9000,DX Spider
ik4icz-5.dyndns.org:7300,CC Cluster
ik4icz.dyndns.org:8000,DX Spider
ik5pwj-6.dyndns.org:8000,DX Spider
ik5yzw.no-ip.org:8000,DX Spider
ik6ihl.dyndns.org:7300,DX Spider
82.63.231.82:8000,DX Spider
ham.ik6ihl.org:9000,DxNet
dx.ik6vxo.net:23,AR-Cluster
ik6xmi.homepc.it:8000,DX Spider
ik6zde.hamradioonline.net:9000,DX Spider
ik7imo.ddns.net:7000,DX Spider
ik7nxu.dyndns.org:9000,DxNet
ik7nxu.dyndns.org:7300,DX Spider
ik7qlz.dyndns.org:7000,DX Spider
ik7uxw.dyndns.org:7300,DX Spider
ik7xlw.dyndns.org:7300,DX Spider
ik8hjc.dyndns.org:8000,DX Spider
ik8vkw.no-ip.biz:9001,DX Spider
ik8vkw.no-ip.biz:7300,DxNet
ik8vrn.dyndns.org:7000,DX Spider
cluster.iq0lt.net:7300,DX Spider
iq0ss.mine.nu:23,AR-Cluster
185.58.193.163:7300,DX Spider
cluster.ari-rivarolo.org:7000,DX Spider
iq1im.ddns.net:7300,DX Spider
iq1la-6.dyndns-ip.com:7300,DX Spider
aribra.it:7000,DX Spider
iq2er.ddns.net:7300,DX Spider
88.62.17.250:64300,DX Spider
77.43.115.57:7373,AR-Cluster
dx.arilimbiate.it:7300,DX Spider
dxcluster.arimodena.it:8000,DX Spider
iq4rn.aririmini.it:8000,DX Spider
80.205.215.149:8000,DX Spider
160.97.55.211:80,DxNet
iq8pq.aripozzuoli.com:9000,DX Spider
iq8rb.rblob.com:8000,DX Spider
79.9.210.9:7300,DX Spider
iq9my.homepc.it:8000,DX Spider
kwos.dyndns.org:7373,CC Cluster
ir2ugi.dyndns.org:9500,DX Spider
ir3dxc.net:41112,DX Spider
ir4ad.tzo.com:23,AR-Cluster
dxc.aricesena.it:8000,DX Spider
iq4bq.dyndns.org:8000,DX Spider
ir5ag.ham.cx:8000,DX Spider
radio-linux.isti.cnr.it:8000,DX Spider
ir8aw.dyndns.org:7373,AR-Cluster
ir8aw.dyndns.org:9000,DX Spider
ir8aw.dyndns.org:7300,AR-Cluster
ir9esi.dyndns.org:7373,DX Spider
is0grb.it:41112,DX Spider
82.51.241.1:8000,DX Spider
it9obk.org:41112,DX Spider
it9wdy-6.dyndns.org:41112,DX Spider
iv3scp.dyndns.org:7300,DX Spider
iv3yxw.dyndns.org:8000,DX Spider
82.91.115.48:8000,DX Spider
iw0qnlserver.ns0.it:9002,AR-Cluster
iw1psc-6.ddns.net:7300,DX Spider
cluster.hrdlog.net:7300,DX Spider
cluster.hrdlog.net:7373,AR-Cluster
1972.dyndns.tv:7300,DX Spider
www.dxcluster.world:23,DX Spider
0.0.0.0:0,CC Cluster
iw2noy.ddns.net:7300,DX Spider
dx.iw3fvz.it:8000,DX Spider
ham.homelinux.org:8000,DX Spider
spider.iw8pgt.org:8000,DX Spider
iw9edp.ddns.net:7300,DX Spider
iw9fdd.homeip.net:7300,DX Spider
dxspider.iw9fra.com:7300,DX Spider
clx.iw9gtd.it:7300,DX Spider
iz0awg.it:7300,DX Spider
clx.noantri.org:23,AR-Cluster
spider.noantri.info:7000,DX Spider
dxcluster.iz0tws.com:7300,DX Spider
cluster-iz0uin.dlinkddns.com:7300,DX Spider
dx.iz1cqn.it:8000,AR-Cluster
iz3lcj.dyndns.info:8000,DX Spider
www.iz3lsv.net:8000,DX Spider
cluster.iz3mez.it:8000,DX Spider
www.iz5fsa.net:8000,DX Spider
iz5ilu.ns0.it:7300,DX Spider
79.23.57.37:0,AR-Cluster
cluster.cisarabruzzo.org:7300,DX Spider
iz6fzs.dyndns.org:9000,DX Spider
dx.iz7auh.net:8000,DX Spider
iz8bri.dyndns.org:9000,CC Cluster
iz8bri.no-ip.org:9000,CC Cluster
iz8dmz.no-ip.org:8000,DX Spider
iz8ejb.ddns.net:8000,DX Spider
iz8etw.dyndns.org:8000,DX Spider
iz8fst.dyndns.org:9000,DX Spider
iz8gcb.ddns.net:7300,DX Spider
dx.iz8mbw.net:7300,DX Spider
iz8ppi-6.dyndns.org:9000,DxNet
ja2yyf.d2g.com:23,AR-Cluster
dxcluster.jp:7300,DX Spider
bld.dxscape.com:8000,DxNet
ja9ipf.dyndns.org:9000,DX Spider
ja3yaq.ampr.org:9000,DX Spider
w1vx.atnifty.com:23,WinCluster
ccc.jg1vgx.net:7373,CC Cluster
arc.jg1vgx.net:7000,AR-Cluster
dxc.jg1vgx.net:7300,DX Spider
jh1rfm.ddo.jp:9000,DxNet
jh1rfm.ddo.jp:7300,DX Spider
jh2zyy.d2g.com:23,AR-Cluster
www.610dx.com:41112,CLX
jh6vlf.ddo.jp:8000,DxNet
dx-cluster.com:8877,AR-Cluster
dxspider.jk1zrw.org:7300,DX Spider
abuail.ddo.jp:7300,DX Spider
ja3azd.dyndns.org:9000,DX Spider
K0DIV.NET:23,CC Cluster
pi.k0pir.us:7300,DX Spider
k0wl.ddns.net:23,AR-Cluster
dx.byrg.net:0,DX Spider
dxc.k0xm.net:7300,CC Cluster
k1eu.dynip.com:23,AR-Cluster
k1rfi.com:7300,DX Spider
falara.whoi.edu:23,DX Spider
sebago.ddns.net:7373,AR-Cluster
k1ttt.net:7373,AR-Cluster
k1vu.miketheactuary.com:4242,AR-Cluster
K2CAN.NET:23,CC Cluster
dxc.k2ls.com:23,DX Spider
216.135.40.104:7300,DX Spider
dx.k3lr.com:23,AR-Cluster
k3ww.gofrc.org:7300,DX Spider
dxc.k4ea.net:23,AR-Cluster
k4fcg.dyndns.org:23,AR-Cluster
dxc.k4fx.net:7300,DX Spider
k4jw.no-ip.com:41414,DX Spider
dxc.k4kyd.com:7300,DX Spider
