"4M5DX","4m5dx.no-ip.org","7300","DX Spider"
"6L0NJ","dxc.dx.or.kr","23","AR-Cluster"
"7N4TWL-7","7n4twl.homeip.net","8000","DX Spider"
"9A0CSI","dxc.ham.hr","7300","DX Spider"
"9A0DXC","9a0dxc.hamradio.hr","8000","DX Spider"
"9A0DXV","9a0dxv.hamradio.hr","8000","DX Spider"
"9A1CIG-2","dxc9a1cig.no-ip.org","23","AR-Cluster"
"9H1LO-1","dx.9h1lo.net","7300","DX Spider"
"9K2HN","62.150.41.82","8000","AR-Cluster"
"9M2PJU-1","9m2pju.hamradio.my","7300","DX Spider"
"AB7AA","AB7AA.no-ip.org","23","AR-Cluster"
"AC2FO","50.182.225.11","23","CC Cluster"
"AE3N-2","dxc.ae3n.us","7300","DX Spider"
"AE5E","dxspots.com","7300","CC Cluster"
"AI9T","dxc.ai9t.com","7300","AR-Cluster"
"AI9T-2","dxc.ai9t.com","7373","AR-Cluster"
"BA2IA","58.244.248.177","7373","AR-Cluster"
"BA2IA-2","spot.ba2ia.com","7373","AR-Cluster"
"BA4RF","lowband.club","7300","DX Spider"
"BD5RV","dxc.jsdxc.net","7300","DX Spider"
"BG2RVL-9","dx.5iyou.cn","7300","DX Spider"
"BG6SNJ-0","dxc.bg6snj.cn","7300","DX Spider"
"BG8FT","BG8FFE.XICP.NET","7373","DX Spider"
"BG8FT-1","BG8FFE.XICP.NET","7373","DX Spider"
"BG8NUD","WWW.BG8NUD.COM","7373","AR-Cluster"
"BH1SCW-3","103.207.69.56","7300","DX Spider"
"BI4SCC","spots.bi4scc.net","7300","AR-Cluster"
"CE4UYP-5","146.83.196.31","9000","DxNet"
"CS0RCL-7","cs0rcl.hopto.org","9000","DxNet"
"CS3MAD","cs3mad.dyndns.org","7300","DX Spider"
"CS5ARLC-1","cluster.arlc.pt","7373","DX Spider"
"CS5ARTD-2","portaldoradioamador.pt","7300","DX Spider"
"CS5SEL-5","hamradio.isel.ipl.pt","41112","DX Spider"
"CS6ARC-10","cluster.no-ip.org","7300","DX Spider"
"CT1ENQ-5","ct1enq.myvnc.com","35000","AR-Cluster"
"CU3HY-2","cu3hy.duckdns.org","7300","DX Spider"
"CX2SA-8","cx2sa.net","7300","DX Spider"
"DB0ERF-5","db0erf.de","7300","DX Spider"
"DB0FHN-6","db0fhn.efi.fh-nuernberg.de","7300","DX Spider"
"DB0HGW-6","db0hgw.dyndns.org","4111","DX Spider"
"DB0HST-6","dxc.db0hst.de","8005","DX Spider"
"DB0LJ-6","dx.prgm.org","41112","DX Spider"
"DB0SPC-7","db0spc.ath.cx","8000","DX Spider"
"DB0SUE-7","db0sue.de","8000","DX Spider"
"DD5XX-10","dd5xx.dxcluster.net","7000","DX Spider"
"DH8WR","rbn.dh8wr.com","7373","AR-Cluster"
"DH8WR-1","ccc.dh8wr.com","7373","CC Cluster"
"DJ1YFK-2","rbn.telegraphy.de","7000","OTHER"
"DL0RTG-2","dl0rtg-2.spdns.eu","7300","DX Spider"
"DL2ND-8","194.36.145.88","7373","AR-Cluster"
"DL4DAC-2","dl4dac.ben2.de","7300","DX Spider"
"DL4RCK","dl4rck.ddns.net","8000","AR-Cluster"
"DL8FCL-7","dl8fcl.dyndns.org","8000","DX Spider"
"DL8LAS","dl8las.dyndns.org","7301","CW Skimmer"
"DO5ALF-14","dxc.funkerportal.de","443","OTHER"
"DQ8Z","dxcluster.dq8z.de","7373","DX Spider"
"E73DU-6","e73du.no-ip.org","7300","DX Spider"
"E79ZTB","e79ztb.dyndns.org","7300","DX Spider"
"EA1CYZ-5","clx.inetd.nl","9000","DX Spider"
"EA1DX","ea1dx.lynxdxg.com","23","AR-Cluster"
"EA1HG-2","ea1hg.duckdns.org","7300","DX Spider"
"EA1IGN-3","ea1ign.ddns.net","7300","DX Spider"
"EA1URF-5","campelo.cdf.udc.es","8000","DX Spider"
"EA2CW","cluster.gautxori.com","7300","CC Cluster"
"EA2RCF-5","rcfcloud.dyndns.org","7300","DX Spider"
"EA2URV-5","dx.ea2urv.com","7300","DX Spider"
"EA3AKS-5","ea3aks.org","8000","DX Spider"
"EA3AKS-8","ea3aks.org","41112","CLX"
"EA3CV-2","dxcluster.cronux.net","7300","DX Spider"
"EA4FIT-2","ea4fit.ddns.net","8000","DX Spider"
"EA4FIT-5","ea4fit.ddns.net","7373","CC Cluster"
"EA4RCH-5","ea4rch.dxfun.com","8000","DX Spider"
"EA4RCR-2","rem-esp.duckdns.org","7300","DX Spider"
"EA4RCU-5","ea4rcu.sytes.net","7300","DX Spider"
"EA4RH-5","dx.radiocq.com","8000","DX Spider"
"EA4URE-2","ea4ure.com","7300","DX Spider"
"EA4URE-5","ea4ure.com","7300","DX Spider"
"EA5CW-5","proystel.com","8000","DX Spider"
"EA5RCG-5","cluster.ea5rcg.org","8000","DX Spider"
"EA5RCI-5","dx.ea5rci.com","8000","DX Spider"
"EA5URA","ea5ura.sytes.net","9000","AR-Cluster"
"EA5URA-5","ea5ura.sytes.net","8000","DX Spider"
"EA5URM-5","ea5urm.dns2go.com","7000","DX Spider"
"EA6VQ-1","dxmaps.com","7300","DX Spider"
"EA7URG-5","ea7urg.es","8001","DX Spider"
